year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2013, 3, 8,  ,  ,     ,33.98000,136.02000,  30.000, 5.50,244.0,22.0,119.0,  45,  9,  0.014,   345600.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2013, 3,21,  ,  ,     ,33.19000,132.28999,  32.000, 5.40,206.0,22.0, 81.0,  10, 27,  0.017,   172800.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2012,12,17,  ,  ,     ,34.16000,136.24001,  27.000, 5.30,214.0,20.0, 89.0,  19, 14,  0.011,   172800.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2012,11,21,  ,  ,     ,34.81000,136.92999,  25.000, 5.60,285.0,11.0,160.0,  14, 41,  0.013,   518400.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2012,12, 1,  ,  ,     ,33.68000,133.42000,  30.000, 5.90,259.0, 9.0,134.0,  62, 26,  0.013,   259200.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2012,12, 9,  ,  ,     ,33.44000,132.73000,  28.000, 6.00,203.0,14.0, 78.0,  35, 45,  0.017,   259200.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2012,11,26,  ,  ,     ,33.57000,133.03999,  29.000, 5.40,247.0, 8.0,122.0,  45, 20,  0.005,   432000.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2012,11,16,  ,  ,     ,33.28000,132.38000,  32.000, 5.30,209.0,16.0, 84.0,  30, 20,  0.004,   172800.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2012,11, 3,  ,  ,     ,34.92000,137.35001,  30.000, 5.70,284.0,14.0,159.0,  33, 38,  0.009,   259200.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2012,10,31,  ,  ,     ,34.98000,137.53999,  31.000, 5.50,273.0,14.0,148.0,  32, 21,  0.007,   259200.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012,10,27,  ,  ,     ,33.97000,135.88000,  31.000, 5.50,239.0,24.0,114.0,  24, 20,  0.011,   129600.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 9, 4,  ,  ,     ,33.33000,132.48000,  28.000, 5.60,205.0,23.0, 80.0,  32, 43,  0.006,   172800.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012,10, 2,  ,  ,     ,34.71000,136.94000,  25.000, 5.70,218.0,12.0, 93.0,  61, 31,  0.005,   216000.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 8,19,  ,  ,     ,35.08000,137.85001,  35.000, 5.80,265.0,17.0,140.0,  44, 36,  0.010,   518400.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 8,16,  ,  ,     ,35.45000,138.06000,  44.000, 5.50,251.0,17.0,126.0,  46, 11,  0.050,   259200.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 8,12,  ,  ,     ,34.48000,136.39000,  29.000, 5.70,210.0,15.0, 85.0,  23, 17,  0.024,   216000.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 6,12,  ,  ,     ,34.31000,136.11000,  31.000, 5.50,198.0,21.0, 73.0,  26, 21,  0.010,   259200.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 6, 8,  ,  ,     ,34.27000,136.02000,  36.000, 5.80,221.0,23.0, 96.0,  50, 10,  0.029,   302400.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 5,31,  ,  ,     ,33.58000,132.85001,  30.000, 5.60,244.0, 7.0,119.0,  20, 27,  0.014,   216000.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 5,26,  ,  ,     ,33.45000,132.63000,  29.000, 5.70,203.0,17.0, 78.0,  38, 45,  0.007,   216000.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 5,29,  ,  ,     ,33.70000,132.70000,  31.000, 5.50,188.0,10.0, 63.0,  40, 23,  0.007,   172800.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 5,21,  ,  ,     ,34.78000,137.24001,  21.000, 5.50,244.0,13.0,119.0,  49, 48,  0.002,   172800.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 5,17,  ,  ,     ,34.95000,137.08000,  22.000, 5.70,195.0,12.0, 70.0,  43, 43,  0.006,   345600.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 5,15,  ,  ,     ,34.90000,136.78000,  28.000, 5.80,201.0,12.0, 76.0,  46, 21,  0.017,   172800.00,AIST-SSE,  Itaba et al. (2013a); Itaba and Ando (2011),2018-06-26
2012, 4,14,  ,  ,     ,34.69000,136.72000,  27.000, 5.60,216.0,14.0, 91.0,  65, 40,  0.003,   172800.00,AIST-SSE,Kitagawa et al. (2012); Itaba and Ando (2011),2018-06-26
