"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Nishimura2021a-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Nishimura, T. (2021). Slow slip events in the Kanto and Tokai regions of central Japan detected using global navigation satellite system data during 1994–2020. Geochemistry, Geophysics, Geosystems, 22, e2020GC009329. https://doi.org/10.1029/2020GC009329."
"    Notices:"
"      Covered Period: from July 24, 1994 to November 23, 2019."
"      The reference time indicates the centroid of the event."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2016,11,22,  ,  ,     ,36.00300,140.90500,  38.800, 5.94,186.0,21.0, 75.0,  39, 32,  0.021,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2017, 4,26,  ,  ,     ,35.97100,141.23399,  32.500, 5.79,193.0,14.0,110.0,  36, 40,  0.011,        0.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2017, 6, 3,  ,  ,     ,35.60900,141.96300,  13.500, 6.35,189.0,15.0, 82.0,  40, 39,  0.066,        0.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2017, 7,15,  ,  ,     ,34.88300,142.06700,   8.800, 6.44,182.0,14.0,104.0,  40, 40,  0.088,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2017, 7,29,  ,  ,     ,36.81200,141.45500,  40.200, 6.03,204.0,16.0,132.0,  36, 37,  0.027,  1641600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2017, 9,27,  ,  ,     ,36.38300,140.99699,  43.500, 5.94,207.0,19.0,122.0,  38, 37,  0.018,        0.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2017,12,25,  ,  ,     ,35.35800,140.03700,  68.200, 6.19,178.0,27.0, 87.0,  48, 41,  0.030,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2018, 1,13,  ,  ,     ,35.52500,141.98801,  12.500, 6.27,187.0,15.0, 81.0,  39, 40,  0.052,  5011200.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2018, 9,19,  ,  ,     ,36.37200,141.19901,  39.300, 5.91,211.0,17.0,123.0,  41, 42,  0.014,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2018,12,11,  ,  ,     ,36.48200,142.47600,  14.400, 6.40,212.0,13.0, 86.0,  41, 40,  0.077,  5356800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2019, 3, 4,  ,  ,     ,35.81900,142.15401,  11.100, 6.48,194.0,14.0, 59.0,  37, 45,  0.098,  1900800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2019, 4,30,  ,  ,     ,35.25000,140.76900,  44.900, 6.24,177.0,23.0, 74.0,  47, 40,  0.038,  2592000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2019, 6,26,  ,  ,     ,36.46200,141.80499,  27.000, 6.09,206.0,17.0, 86.0,  40, 39,  0.028,  3628800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2019, 9,14,  ,  ,     ,35.33200,142.03101,  10.900, 6.65,185.0,14.0, 73.0,  40, 41,  0.185,  4924800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2019,10,12,  ,  ,     ,36.06700,141.01300,  36.800, 6.18,192.0,20.0, 88.0,  49, 35,  0.035,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30

