"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Okada2022b-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Okada, Y., Nishimura, T., Tabei, T. et al. (2022). Development of a detection method for short-term slow slip events using GNSS data and its application to the Nankai subduction zone. Earth Planets Space 74, 18. https://doi.org/10.1186/s40623-022-01576-8."
"    Notices:"
"      Covered Period: from February 1997 to January 2020"
"      The reference date is the center day of the duration."
"      This catalog records class 2 SSEs. The criteria for the categorization are described in the original paper."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2013, 6,30,  ,  ,     ,33.79500,134.42900,  23.337, 5.74,277.0,15.5,157.4,  44, 41,  0.007,    86400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013, 5, 8,  ,  ,     ,34.72400,138.39400,  10.157, 5.44,209.6, 9.7, 90.0,  71, 18,  0.004,   432000.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013, 3,28,  ,  ,     ,33.80400,134.36400,  24.803, 5.67,268.1, 8.7,147.8,  59, 25,  0.007,  1036800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013, 2, 3,  ,  ,     ,32.38600,131.99800,  22.789, 5.88,200.9,27.2, 67.8, 107, 43,  0.004,    86400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012, 9,28,  ,  ,     ,34.75000,136.74600,  29.177, 5.78,211.9,17.6,100.6,  52, 26,  0.011,   345600.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012, 9,21,  ,  ,     ,34.93000,138.46201,   9.184, 5.40,207.7,17.9, 45.7,  42, 33,  0.003,  1987200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012, 9, 2,  ,  ,     ,32.52400,132.77600,  17.434, 6.01,219.7,11.1, 86.3,  39, 39,  0.021,   432000.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012, 7, 1,  ,  ,     ,35.68200,138.58000,  25.397, 6.06,224.2,27.1,109.3,  40, 39,  0.025,  3196800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012, 4,10,  ,  ,     ,31.26400,131.70500,  19.917, 6.01,196.6,19.4, 92.0,  51, 39,  0.016,  1468800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012, 3,16,  ,  ,     ,35.47700,137.11000,  45.871, 5.84,268.5,19.7,144.2,  62, 30,  0.010,  1814400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012, 2,27,  ,  ,     ,35.00000,133.65100,  50.655, 5.90,243.3,15.1,115.9,  94, 35,  0.007,  2246400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012, 2, 7,  ,  ,     ,32.22900,131.88600,  23.824, 5.96,198.7,27.0, 65.7, 112, 36,  0.007,  2764800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012, 1,14,  ,  ,     ,34.04900,138.44800,   2.735, 6.02,215.4, 9.4, 62.9,  40, 31,  0.028,  1468800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2011,10, 7,  ,  ,     ,33.74400,134.74300,  22.982, 5.71,278.4,16.4,148.4,  48, 32,  0.007,   691200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2011, 7,10,  ,  ,     ,33.80500,134.55800,  23.950, 5.82,276.5,15.5,134.2,  74, 38,  0.006,  3196800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2011, 6,28,  ,  ,     ,34.72000,136.82600,  26.732, 5.79,213.1,17.6, 83.9,  47, 36,  0.009,   691200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2011, 2, 3,  ,  ,     ,33.75600,136.44800,  19.168, 5.76,240.0,14.6,115.5,  47, 32,  0.009,   604800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2010,11,15,  ,  ,     ,34.46000,137.88200,  11.684, 5.67,236.7,15.7,101.1,  80, 41,  0.003,   172800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2010, 9,21,  ,  ,     ,33.67800,132.25101,  39.146, 6.09,200.9,39.5, 68.8,  94, 34,  0.013,  3283200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2010, 7,22,  ,  ,     ,33.85800,134.35100,  25.201, 5.75,276.5,15.0,144.9,  27, 26,  0.018,  1382400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2010, 7,10,  ,  ,     ,33.84600,133.42300,  27.631, 5.86,231.5, 6.7,100.8,  60, 32,  0.010,  1382400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2010, 4,20,  ,  ,     ,35.15400,137.92300,  27.356, 5.78,242.0,23.4, 82.0,  29, 37,  0.013,  1036800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2010, 3,26,  ,  ,     ,34.38400,136.25400,  33.725, 5.73,216.6,21.5, 73.7,  62, 17,  0.011,  2160000.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2009, 8,11,  ,  ,     ,31.51000,133.16200,   5.289, 6.67,258.4, 6.1,126.9,  45, 30,  0.231,   259200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2009, 7,16,  ,  ,     ,34.43200,136.29500,  31.269, 5.88,215.7,32.0,101.3,  74, 34,  0.008,  3196800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2009, 6,20,  ,  ,     ,33.06500,135.29401,   5.712, 6.37,236.8, 5.5,113.1,  58, 26,  0.075,   259200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2009, 4,13,  ,  ,     ,33.46500,132.78700,  28.546, 5.78,211.1, 5.7, 87.9,  18, 43,  0.019,   259200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2009, 4, 6,  ,  ,     ,31.99100,131.92200,  23.698, 5.71,201.5,14.2, 77.2,  33, 20,  0.018,    86400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2009, 3, 2,  ,  ,     ,32.06400,131.61800,  32.468, 5.91,197.3,31.4, 80.6,  88, 20,  0.013,  2851200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2008, 9,21,  ,  ,     ,35.58800,138.65500,  18.914, 5.79,217.2,28.8, 71.3,  42, 34,  0.011,   259200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2008, 8,28,  ,  ,     ,35.31600,138.26700,  26.249, 5.87,235.5,21.9, 76.3,  87, 29,  0.008,  1814400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2008, 1, 5,  ,  ,     ,35.18700,138.09599,  25.326, 5.84,239.7,23.1, 99.2,  56, 43,  0.007,  3024000.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2007,12, 4,  ,  ,     ,32.78100,135.70500,   4.685, 6.58,268.1, 2.8,156.1,  55, 30,  0.138,   345600.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2007, 9,10,  ,  ,     ,32.98100,133.29900,  18.612, 5.71,227.0, 8.9, 88.9,  50, 31,  0.008,   172800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2007, 6,24,  ,  ,     ,32.56000,131.92200,  28.301, 6.10,200.6,33.0, 98.0,  54, 43,  0.019,  2505600.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2007, 6,17,  ,  ,     ,33.78600,134.92500,  25.008, 5.77,285.2,23.3,151.6,  52, 35,  0.008,   432000.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2007, 4,15,  ,  ,     ,35.35000,137.18100,  42.516, 5.78,272.9,18.0,148.1,  54, 31,  0.009,  1036800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2006,11,21,  ,  ,     ,32.97500,132.17799,  30.289, 5.93,204.0,21.4, 85.4,  93, 21,  0.013,   172800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2006,11,11,  ,  ,     ,34.82000,136.92599,  27.378, 5.76,218.4,16.4, 88.4,  51, 25,  0.011,  1036800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2006, 6,20,  ,  ,     ,33.32500,135.03300,  10.150, 5.90,244.2,13.8,117.8,  28, 33,  0.024,  1728000.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2006, 6,15,  ,  ,     ,34.51100,136.42700,  31.836, 5.83,216.1,22.1,114.3, 102, 28,  0.006,    86400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2006, 6, 2,  ,  ,     ,33.83500,133.63699,  26.390, 5.77,237.9, 6.8,105.3,  38, 23,  0.016,   604800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2006, 3,18,  ,  ,     ,33.43000,136.02000,  13.889, 5.50,271.0,18.5,108.7,  60, 47,  0.002,   345600.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2005,10,29,  ,  ,     ,33.50600,132.58900,  28.205, 5.85,203.1,14.1, 77.5,  43, 35,  0.013,  1296000.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2005, 8,28,  ,  ,     ,34.06600,133.51199,  31.627, 5.73,255.5,10.9,137.9,  70, 29,  0.006,  1123200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2005, 6,13,  ,  ,     ,32.10700,131.65199,  32.033, 6.20,198.5,31.4, 72.1, 128, 36,  0.014,  2592000.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
