Region_name Time_period Cluster_id Centroid_Lon(deg) Centroid_Lat(deg) Starting_time(year) Starting_time(month) Starting_time(day) Max_magnitude Median_inter-event_time(day) Duration(day) Number_of_events
MARIANA4 2000-2004 cluster_1 144.372 12.4195 2002 12 6 4.8 0.1257324 1.905273 6
MARIANA5 2000-2004 cluster_1 142.8 11.8693 2001 8 3 5.3 74.63184 306.5076 6
MARIANA5 2000-2004 cluster_2 143.926 12.3118 2004 4 17 5. 7.527344 81.80249 12
MARIANA5 2000-2004 cluster_4 144.614 12.9918 2000 6 29 5.9 5.6335449E-02 1.102356 9
MARIANA5 2000-2004 cluster_5 145.851 13.4548 2001 8 11 4.8 3.500610 56.47400 5
MARIANA5 2000-2004 cluster_6 145.386 14.1187 2003 12 29 4.9 27.33142 188.2297 7
MARIANA6 2000-2004 cluster_1 140.863 10.978 2002 4 22 6.1 0.1279297 50.98376 11
TOKAI 2000-2004 cluster_1 137.168 33.9202 2002 9 20 5.5 4.661987 136.7638 6
KYUSHU_RYUKYU1 2000-2004 cluster_1 130.181 27.313 2003 12 5 5.3 0.7416992 3.507080 5
KYUSHU_RYUKYU3 2000-2004 cluster_1 126.321 25.6812 2001 8 17 5.9 6.358887 69.12012 5
PHILIPPINES1 2000-2004 cluster_1 125.63 11.447 2000 12 13 4.9 14.05768 59.71973 5
PHILIPPINES1 2000-2004 cluster_2 125.535 12.4108 2002 5 22 5.2 27.40405 161.3015 5
PHILIPPINES2 2000-2004 cluster_1 126.2 8.8474 2004 4 12 5.1 20.91919 80.19043 5
PHILIPPINES2 2000-2004 cluster_2 126.556 9.09943 2004 9 3 5.5 0.2062988 5.491211 7
PHILIPPINES2 2000-2004 cluster_3 126.386 9.1146 2002 9 8 5.1 3.384521 30.89490 5
PHILIPPINES2 2000-2004 cluster_4 125.352 10.0378 2004 3 8 5.1 40.68359 153.9399 5
PHILIPPINES2 2000-2004 cluster_5 126.288 10.3046 2002 8 27 4.9 7.512451 105.9548 8
PHILIPPINES3 2000-2004 cluster_1 127.305 5.7603 2001 1 2 5.7 0.7230225 8.003296 10
PHILIPPINES3 2000-2004 cluster_2 126.775 6.76371 2001 1 1 7.5 1.2329102E-02 0.1092529 7
PHILIPPINES3 2000-2004 cluster_3 126.958 7.31114 2002 7 14 5.1 18.50671 138.3264 7
